Station_ID	Site	Lives	Markets	Spat	SBox	DBox	NBox	OBox	z.Lives	z.Markets	z.Spat	z.SBox	z.DBox	z.NBox	z.OBox	p.Lives	p.Markets	p.Spat	p.SBox	p.DBox	p.NBox	p.OBox
372	Tow Stake West (25-1)	1.489917988	0.06148331	3.323025643	1.23127831	0.973635609	-0.161798871	-0.293375162	0.823936991	0.092537242	1.740582948	2.338464533	1.948371216	-0.427918136	-0.606889214	0.41	0.926	0.082	0.019	0.051	0.669	0.544
373	Upper Thomas Rock	1.895325944	0.309280227	1.184864975	0.286947964	0	0.084716882	0.166980686	1.426986749	0.31181878	0.702923103	0.387116849	NaN	0.149659086	0.246727806	0.154	0.755	0.482	0.699	NaN	0.881	0.805
374	Lower Thomas Rock	1.895530184	0.975130818	0.932047834	-0.063269496	-0.030950729	0.260313057	0.748042624	1.107396997	1.047667081	0.435142292	-0.079506173	-0.138675049	0.623984908	1.184603214	0.268	0.295	0.663	0.937	0.89	0.533	0.236
375	Upper Dog Shoal	1.130138264	0.294155651	0.488655051	-0.223576514	-0.014747812	-0.072199033	-0.390425133	0.72001457	0.333094499	0.231396447	-0.278463314	-0.145864991	-0.145974066	-0.637396161	0.472	0.739	0.817	0.781	0.884	0.884	0.524
376	Lower Dog Shoal	1.118540223	0.79369444	1.343704776	-0.471254581	0	0.055993717	-0.126852605	1.048324631	0.806753851	0.852898379	-0.779779284	NaN	0.133857047	-0.193313494	0.294	0.42	0.394	0.436	NaN	0.894	0.847
377	High Shoal	1.38063349	0.235156136	0.072209271	-0.225100977	0	-0.130409948	0.10752192	1.165332309	0.258849845	0.052419294	-0.341864378	NaN	-0.281024012	0.156590079	0.244	0.796	0.958	0.732	NaN	0.779	0.876
383	Beverly's 2	0.855401524	-0.049776236	2.226024984	0.308096867	0.27194953	0.022052663	0.981991616	0.648832361	-0.05003964	1.776511466	0.488732899	0.913393169	0.043832783	1.266866176	0.516	0.96	0.076	0.625	0.361	0.965	0.205
384	Beverly's 3	-0.043645214	-0.696156172	0.668175887	-0.178431433	-0.03960841	-0.012589717	0.55692594	-0.037044882	-0.737316061	0.563982464	-0.362312066	-0.242640596	-0.022682541	0.706913221	0.97	0.461	0.573	0.717	0.808	0.982	0.48
385	Ingrams Bay North	0.570070035	0.209223352	1.018803512	-0.238445194	0	-0.138629436	-0.14738827	0.635482115	0.238496164	0.940802922	-0.423262686	NaN	-0.49280538	-0.178356693	0.525	0.811	0.347	0.672	NaN	0.622	0.858
386	Ingrams Bay South	0.480806708	0.099547291	-0.175429264	-0.209626769	0	-0.059412615	-0.721919506	0.416910781	0.119524742	-0.142321172	-0.549176543	NaN	-0.301780431	-0.957947882	0.677	0.905	0.887	0.583	NaN	0.763	0.338
387	Indian Field	0.896583473	1.311922406	0.020760998	-0.033291281	-0.02100446	-0.029379856	-0.646786827	0.612235302	1.164153973	0.015888768	-0.083010133	-0.174077656	-0.045534372	-0.69417454	0.54	0.244	0.987	0.934	0.862	0.964	0.488
388	Cheatam P.G. 1	0.283338405	0.195660597	0.222033597	0.074265769	0	-0.019900998	-0.854375299	0.274600979	0.220099508	0.204484461	0.301780431	NaN	-0.053430334	-1.198620807	0.784	0.826	0.838	0.763	NaN	0.957	0.231
389	Timberneck	1.151496412	0.950125962	0.978614382	0.220080138	-0.105849729	0.111016725	-0.05622841	0.771113971	0.99335121	0.699956075	0.463101869	-0.375266039	0.285029359	-0.076558342	0.441	0.321	0.484	0.643	0.707	0.776	0.939
391	Cobbs Creek	-0.224579292	-0.934532967	1.212034218	0.232841797	0	-0.184549715	-0.501454215	-0.127670574	-0.721881578	0.754240051	0.531795368	NaN	-0.499102399	-0.490982821	0.898	0.47	0.451	0.595	NaN	0.618	0.623
